rank,team_name,matches_played,wins,draws,losses,goals_for,goal_difference,points,home_id,home_home_score,home_away_score,home_xg_home,home_xg_away,home_possession_home,home_possession_away,home_total_shots_home,home_total_shots_away,home_shots_on_target_home,home_shots_on_target_away,home_big_chances_home,home_big_chances_away,home_corners_home,home_corners_away,home_yellow_cards_home,home_yellow_cards_away,away_id,away_home_score,away_away_score,away_xg_home,away_xg_away,away_possession_home,away_possession_away,away_total_shots_home,away_total_shots_away,away_shots_on_target_home,away_shots_on_target_away,away_big_chances_home,away_big_chances_away,away_corners_home,away_corners_away,away_yellow_cards_home,away_yellow_cards_away
1,Liverpool,33,24,7,2,75:31,44,79,158.66666666666666,2.1333333333333333,0.7333333333333333,2.1133333333333333,0.7799999999999999,59.86666666666667,40.13333333333333,16.333333333333332,9.266666666666667,6.0,2.7333333333333334,1.8,0.7333333333333333,6.0,4.8,1.4,2.1333333333333333,155.375,1.1875,2.5,0.87,2.075625,43.6875,56.3125,9.9375,17.3125,3.875,6.375,1.25,2.6875,3.375,6.6875,1.75,1.1875
2,Arsenal,34,18,13,3,63:29,34,67,150.3125,1.9375,0.8125,1.67,0.660625,57.3125,42.6875,16.8125,7.5,5.6875,2.3125,1.4375,0.5,7.875,2.3125,1.6875,2.25,157.8125,0.875,1.625,1.134375,1.4225,44.25,55.75,11.1875,11.25,4.0625,3.8125,0.875,1.9375,3.5625,5.5625,1.1875,1.1875
3,Manchester City,34,18,7,9,66:43,23,61,150.625,2.3125,1.3125,2.14625,1.135,62.9375,37.0625,17.6875,8.25,6.25,3.1875,2.6875,1.5,7.25,2.75,1.75,2.3125,159.9375,1.3125,1.5625,1.375,1.456875,39.8125,60.1875,11.0625,14.4375,4.375,5.4375,1.375,1.5,4.1875,5.875,1.625,1.125
4,Nottingham,33,18,6,9,53:39,14,60,152.625,1.5,0.6875,1.24,1.12375,41.75,58.3125,12.1875,13.4375,4.5625,4.0625,1.125,0.875,4.0625,6.25,1.1875,2.3125,158.625,1.6875,1.6875,1.455,1.19375,62.375,37.625,14.625,12.6875,5.5,4.375,1.75,1.125,6.5625,4.1875,2.125,2.375
5,Newcastle,33,18,5,10,62:44,18,59,170.42857142857142,1.8571428571428572,1.2857142857142858,1.7278571428571428,1.3092857142857144,48.0,52.0,15.142857142857142,13.571428571428571,4.928571428571429,4.642857142857143,1.7857142857142858,1.2142857142857142,5.714285714285714,5.928571428571429,1.5714285714285714,2.4285714285714284,158.6875,1.3125,1.625,1.151875,1.5775000000000001,48.875,51.125,12.1875,12.0,4.375,4.0,1.1875,1.8125,5.125,5.125,1.375,0.875
6,Chelsea,33,16,9,8,58:40,18,57,160.2,1.8666666666666667,1.0,1.8893333333333333,1.0193333333333332,56.333333333333336,43.666666666666664,17.8,10.4,6.8,4.133333333333334,1.9333333333333333,1.0666666666666667,5.866666666666666,3.4,2.1333333333333333,1.8666666666666667,156.625,1.375,1.625,1.6300000000000001,1.8275000000000001,39.9375,60.0625,11.0625,14.25,4.8125,4.875,1.9375,2.0,3.75,5.9375,2.4375,2.3125
7,Aston Villa,34,16,9,9,54:49,5,57,159.9375,1.6875,1.1875,1.854375,1.0325,55.3125,44.6875,15.125,10.6875,5.4375,3.5625,2.0,1.0625,7.5,3.3125,1.5625,2.8125,150.9375,1.6875,1.375,1.61375,1.226875,52.0625,47.9375,13.75,10.75,4.8125,3.5625,1.4375,1.125,5.25,5.25,2.0,2.0
8,Bournemouth,33,13,10,10,52:40,12,49,157.0,1.2666666666666666,0.9333333333333333,1.732,1.2406666666666666,47.53333333333333,52.46666666666667,17.4,12.0,6.066666666666666,3.533333333333333,2.0,1.1333333333333333,6.133333333333334,5.0,2.0,2.533333333333333,162.625,1.625,2.0,1.409375,1.84625,52.8125,47.25,14.4375,15.0625,6.0,5.6875,1.25,1.875,4.9375,6.3125,2.1875,2.6875
9,Fulham,33,13,9,11,48:45,3,48,156.3125,1.5625,1.4375,1.120625,1.064375,53.125,46.875,14.0625,10.4375,5.1875,3.875,0.9375,1.1875,5.5625,4.3125,1.5,1.3125,164.8,1.2666666666666666,1.4666666666666666,1.2633333333333332,1.3733333333333335,48.53333333333333,51.46666666666667,12.133333333333333,12.933333333333334,4.4,3.8666666666666667,1.3333333333333333,1.4666666666666666,4.8,5.0,1.6666666666666667,2.4
10,Brighton,33,12,12,9,53:53,0,48,151.5,1.4375,1.3125,1.698125,1.255,53.0,47.0,15.25,10.1875,4.625,3.5,1.6875,1.3125,4.9375,4.6875,1.75,2.5,159.5625,1.75,1.75,1.445625,1.4275,47.75,52.25,12.0625,12.625,4.25,5.125,1.375,1.9375,5.375,4.6875,1.8125,1.8125
11,Brentford,33,13,7,13,56:50,6,46,160.9375,1.875,1.6875,1.6875,1.4925,50.5625,49.4375,12.9375,16.1875,5.3125,4.8125,1.125,1.625,5.0625,5.5,1.375,2.0625,148.6875,1.3125,1.375,1.5325,1.3018750000000001,55.3125,44.6875,18.9375,9.75,6.375,4.0,1.0625,1.9375,7.75,3.9375,1.875,1.1875
12,Crystal Palace,34,11,12,11,43:47,-4,45,160.5,1.1875,1.4375,1.605,1.25125,43.75,56.25,14.5625,12.0,4.9375,4.3125,1.9375,1.1875,4.6875,6.125,1.9375,1.8125,158.06666666666666,1.1333333333333333,1.4666666666666666,1.4213333333333333,1.474,56.4,43.6,13.733333333333333,12.4,3.933333333333333,4.733333333333333,1.5333333333333334,1.7333333333333334,5.066666666666666,4.4,1.7333333333333334,1.8
13,Everton,33,8,14,11,34:40,-6,38,154.375,1.375,1.1875,1.14125,1.14625,42.5,57.5,11.625,11.1875,4.375,4.0625,1.6875,1.3125,4.5,5.5625,1.8125,0.9375,150.3125,1.1875,0.75,1.305625,0.915625,62.0625,37.9375,14.0625,10.1875,4.4375,3.1875,1.3125,0.875,6.25,4.0,1.25,1.875
14,Manchester Utd,33,10,8,15,38:46,-8,38,157.875,1.3125,1.5625,1.41625,1.433125,52.0,48.0,14.0,11.25,4.625,4.0625,1.5,1.3125,5.25,3.8125,1.375,1.5625,158.6,1.0666666666666667,1.0666666666666667,1.568,1.2013333333333334,46.53333333333333,53.46666666666667,11.466666666666667,12.8,4.333333333333333,4.466666666666667,1.4,0.9333333333333333,5.533333333333333,5.0,1.4,1.6666666666666667
